     1	-2 18407
     2	2 16490
     3	0 14688
     4	-1 6575
     5	1 4619
     6	3 4268
     7	-3 2968
     8	-4 1435
     9	4 1024
    10	5 971
    11	-5 613
    12	7 545
    13	-7 168
    14	8 37
    15	-6 9
    16	6 8
    17	-9 7
    18	9 3
    19	10 2
    20	16 1
    21	15 1
    22	14 1
    23	13 1
    24	12 1
