     1	-2 18457
     2	2 16551
     3	0 14718
     4	-1 6523
     5	1 4530
     6	3 4242
     7	-3 2959
     8	-4 1444
     9	4 1050
    10	5 971
    11	-5 611
    12	7 545
    13	-7 168
    14	8 37
    15	-6 11
    16	6 8
    17	-9 7
    18	9 3
    19	10 2
    20	12 1
    21	13 1
    22	14 1
    23	15 1
    24	16 1
